iter	Passed	Remaining
239	103288	78326
240	103690	77875
241	104104	77433
242	104505	76981
243	104919	76539
244	105361	76118
245	105784	75683
246	106245	75275
247	106655	74830
248	107080	74397
249	107494	73956
250	107931	73530
251	108366	73104
252	108745	72640
253	109137	72185
254	109598	71775
255	109999	71327
256	110400	70879
257	110810	70437
258	111269	70026
259	111704	69600
260	112114	69158
261	112540	68726
262	113042	68341
263	113582	67977
264	114039	67563
265	114497	67148
266	115016	66769
267	115472	66353
268	115963	65957
269	116458	65561
270	116893	65132
271	117318	64697
272	117783	64284
273	118281	63889
274	118742	63473
275	119192	63051
276	119685	62651
277	120172	62247
278	120595	61810
279	120997	61362
280	121431	60931
281	121870	60503
282	122280	60059
283	122703	59623
284	123095	59172
285	123496	58725
286	123896	58278
287	124433	57896
288	124842	57453
289	125316	57040
290	125805	56634
291	126389	56269
292	126996	55912
293	127491	55506
294	127970	55092
295	128442	54674
296	128950	54272
297	129416	53851
298	129876	53427
299	130387	53024
300	131040	52677
301	131535	52265
302	132030	51853
303	132640	51485
304	133186	51091
305	133672	50673
306	134189	50266
307	134734	49869
308	135218	49448
309	135744	49043
310	136277	48639
311	136825	48239
312	137300	47813
313	137771	47386
314	138404	47013
315	138862	46580
316	139326	46149
317	139800	45721
318	140413	45337
319	140922	44919
320	141411	44493
321	141875	44060
322	142416	43650
323	142894	43221
324	143356	42786
325	143820	42351
326	144369	41942
327	144840	41509
328	145313	41076
329	145817	40652
330	146353	40236
331	146840	39806
332	147316	39372
333	147804	38942
334	148344	38525
335	148913	38114
336	149366	37674
337	149775	37222
338	150231	36782
339	150722	36350
340	151221	35920
341	151662	35476
342	152117	35035
343	152563	34592
344	153008	34149
345	153449	33705
346	153877	33258
347	154415	32835
348	154903	32400
349	155348	31957
350	155808	31516
351	156305	31083
352	156828	30654
353	157330	30221
354	157839	29789
355	158351	29357
356	158836	28919
357	159355	28488
358	159857	28052
359	160333	27612
360	160819	27174
361	161281	26731
362	161764	26292
363	162232	25850
364	162688	25406
365	163127	24959
366	163570	24513
367	164015	24067
368	164439	23618
369	164858	23169
370	165305	22724
371	165780	22282
372	166254	21840
373	166688	21393
374	167132	20947
375	167567	20500
376	168005	20053
377	168439	19606
378	168863	19158
379	169287	18710
380	169704	18262
381	170132	17814
382	170556	17367
383	170970	16918
384	171512	16482
385	171950	16036
386	172389	15590
387	172828	15144
388	173258	14698
389	173689	14251
390	174121	13805
391	174571	13360
392	174995	12913
393	175437	12467
394	175905	12023
395	176339	11577
396	176782	11132
397	177212	10686
