bet_no,Date,P1,P2,pick_side,pick_odds,model_conf,pick_ev,pick_correct,stake_frac,stake_units,pnl_units,bankroll_before,bankroll_after,drawdown_pct
16,2025-04-01,Coria F.,Herbert P.,P1,1.5675000000000001,0.6798882010245688,0.06572475510601172,0,0.028953636610577798,32.02176323672566,-32.02176323672566,1105.9668831039678,1073.945119867242,2.8953636610577878
17,2025-04-01,Michelsen A.,Tien L.,P1,1.98,0.6188216231598227,0.22526681385644898,1,0.03,32.21835359601726,31.573986524096913,1073.945119867242,1105.519106391339,0.04048735269288996
18,2025-04-01,Walton A.,Mmoh M.,P1,2.2375000000000003,0.5038168646647471,0.12729023468737166,1,0.025715198926741744,28.42864373816705,35.18044662598173,1105.519106391339,1140.6995530173206,0.0
19,2025-04-01,Gaston H.,Cerundolo J.M.,P1,2.02,0.5762714829148308,0.16406839548795815,1,0.03,34.220986590519615,34.90540632233001,1140.6995530173206,1175.6049593396506,0.0
20,2025-04-02,Hijikata R.,Eubanks C.,P1,1.895,0.5801305792542593,0.09934744768682136,0,0.02775068371140258,32.62384139619093,-32.62384139619093,1175.6049593396506,1142.9811179434596,2.775068371140262
21,2025-04-02,Bautista Agut R.,Comesana F.,P1,2.2824999999999998,0.5227395774064371,0.1931530854301925,0,0.03,34.28943353830379,-34.28943353830379,1142.9811179434596,1108.691684405156,5.691816320006046
22,2025-04-02,Kopriva V.,Gojo B.,P1,1.65,0.6524374377834532,0.07652177234269775,1,0.029431450901037555,32.63040487395897,21.20976316807333,1108.691684405156,1129.9014475732292,3.8876589796025938
23,2025-04-03,Martinez P.,Wawrinka S.,P2,2.0775,0.5244896888005233,0.08962732848308719,0,0.02079520382438215,23.496530903749743,-23.496530903749743,1129.9014475732292,1106.4049166694795,5.886334701160285
24,2025-04-05,Baez S.,Fucsovics M.,P1,1.78,0.6322350806822281,0.12537844361436606,1,0.03,33.19214750008438,25.889875050065818,1106.4049166694795,1132.2947917195452,3.684074933167445
25,2025-04-06,Mpetshi G.,Thompson J.,P1,1.6675,0.6458655591837186,0.0769808199388507,0,0.02883176776735979,32.64606047904895,-32.64606047904895,1132.2947917195452,1099.6487312404963,6.461033316992781
26,2025-04-06,Struff J.L.,Vacherot V.,P1,1.4675,0.7444943542828335,0.09254546491005816,0,0.03,32.98946193721489,-32.98946193721489,1099.6487312404963,1066.6592693032815,9.267202317482996
27,2025-04-06,Griekspoor T.,Darderi L.,P2,2.26,0.503962082092877,0.13895430552990184,1,0.02757029871625037,29.40811468314882,37.05422450076751,1066.6592693032815,1103.713493804049,6.1152740947931825
28,2025-04-07,Shapovalov D.,Giron M.,P1,1.475,0.7200272079157836,0.06204013167578082,0,0.03,33.11140481412147,-33.11140481412147,1103.713493804049,1070.6020889899276,8.931815871949384
29,2025-04-07,Korda S.,Lehecka J.,P1,2.3775,0.5420674568833795,0.2887653787402348,0,0.03,32.11806266969783,-32.11806266969783,1070.6020889899276,1038.4840263202298,11.663861395790901
30,2025-04-07,Tabilo A.,Wawrinka S.,P2,2.2525,0.5033612848891841,0.13382129421288713,0,0.026710837168240947,27.738777728858903,-27.738777728858903,1038.4840263202298,1010.7452485913709,14.02339361011909
31,2025-04-07,Medvedev D.,Khachanov K.,P1,1.92,0.5943298559119403,0.1411133233509254,1,0.03,30.322357457741127,27.896568861121835,1010.7452485913709,1038.6418174524927,11.650439273758382
32,2025-04-07,Muller A.,Ugo Carabelli C.,P1,1.9675,0.558304228654435,0.09846356987760085,1,0.025442782914108748,26.425938286959138,25.567095292632967,1038.6418174524927,1064.2089127451256,9.475635987202473
33,2025-04-07,Monfils G.,Marozsan F.,P1,2.2125000000000004,0.5023753350358698,0.1115054287668622,1,0.02299081005502313,24.467024971785865,29.66626777829037,1064.2089127451256,1093.875180523416,6.952146481428848
34,2025-04-08,Nakashima B.,Bautista Agut R.,P2,2.2525,0.5146020247237899,0.15914106069033673,1,0.03,32.81625541570248,41.10235990816735,1093.875180523416,1134.9775404315833,3.455873385468544
35,2025-04-08,Humbert U.,Popyrin A.,P2,2.255,0.5135973094047221,0.15816193270764833,1,0.03,34.0493262129475,42.73190439724911,1134.9775404315833,1177.7094448288324,0.0
36,2025-04-09,Musetti L.,Lehecka J.,P1,1.685,0.6370428598648354,0.07341721887224778,1,0.026794605427827634,31.5562598828145,21.616038019727934,1177.7094448288324,1199.3254828485603,0.0
37,2025-04-10,Rublev A.,Fils A.,P1,2.1525,0.5217615134861825,0.12309165777900777,0,0.02670101036420993,32.023202147600486,-32.023202147600486,1199.3254828485603,1167.30228070096,2.6701010364209843
38,2025-04-14,Korda S.,Arnaldi M.,P1,2.12,0.5131429510643619,0.0878630562564473,1,0.019612289342956984,22.893470079800817,25.640686489376918,1167.30228070096,1192.942967190337,0.5321754394031589
39,2025-04-15,Tiafoe F.,Munar J.,P1,2.195,0.5291015099988997,0.1613778144475848,0,0.03,35.788289015710106,-35.788289015710106,1192.942967190337,1157.154678174627,3.516210176221055
40,2025-04-15,Bautista Agut R.,Van De Zandschulp B.,P1,2.235,0.5220626396155665,0.16680999954079112,0,0.03,34.714640345238806,-34.714640345238806,1157.154678174627,1122.440037829388,6.41072387093443
