iter	Passed	Remaining
530	76331	41112
531	76466	40964
532	76613	40822
533	76765	40682
534	76910	40539
535	77068	40403
536	77213	40260
537	77371	40124
538	77513	39978
539	77649	39831
540	77789	39685
541	77936	39543
542	78087	39403
543	78239	39263
544	78409	39132
545	78557	38990
546	78705	38849
547	78846	38703
548	79003	38566
549	79155	38426
550	79306	38285
551	79465	38149
552	79612	38006
553	79745	37857
554	79883	37710
555	80022	37564
556	80166	37420
557	80305	37274
558	80445	37128
559	80585	36983
560	80730	36839
561	80869	36693
562	81016	36550
563	81158	36406
564	81302	36262
565	81437	36114
566	81576	35968
567	81709	35819
568	81857	35677
569	82003	35535
570	82155	35394
571	82299	35250
572	82448	35109
573	82611	34973
574	82771	34836
575	82917	34693
576	83077	34555
577	83221	34411
578	83374	34271
579	83538	34135
580	83676	33989
581	83827	33847
582	84009	33719
583	84160	33577
584	84294	33429
585	84427	33281
586	84567	33135
587	84707	32989
588	84853	32846
589	84993	32701
590	85125	32552
591	85254	32402
592	85386	32253
593	85526	32108
594	85681	31968
595	85837	31828
596	85992	31689
597	86140	31546
598	86293	31405
599	86445	31264
600	86581	31117
601	86712	30968
602	86847	30821
603	86977	30672
604	87112	30525
605	87244	30377
606	87404	30238
607	87559	30098
608	87707	29955
609	87864	29816
610	88020	29676
611	88171	29534
612	88335	29397
613	88497	29258
614	88695	29132
615	88854	28993
616	89015	28854
617	89163	28711
618	89315	28569
619	89490	28434
620	89662	28299
621	89807	28154
622	89950	28010
623	90100	27867
624	90241	27722
625	90387	27578
626	90533	27434
627	90673	27288
628	90817	27144
629	90963	27000
630	91114	26857
631	91252	26711
632	91393	26566
633	91536	26421
634	91680	26276
635	91823	26132
636	91972	25989
637	92119	25845
638	92260	25700
639	92400	25554
640	92541	25409
641	92689	25265
642	92833	25121
643	92966	24974
644	93101	24827
645	93230	24678
646	93365	24531
647	93504	24386
648	93641	24239
649	93775	24093
650	93905	23945
651	94051	23801
652	94204	23659
653	94333	23511
654	94463	23363
655	94619	23222
656	94756	23076
657	94888	22928
658	95041	22786
659	95187	22643
660	95328	22498
661	95465	22352
662	95595	22204
663	95731	22058
664	95866	21912
665	95996	21764
666	96133	21619
667	96268	21472
668	96397	21325
669	96534	21179
670	96667	21033
671	96797	20886
672	96926	20739
673	97064	20593
674	97194	20446
675	97325	20300
676	97457	20153
677	97596	20008
678	97732	19863
679	97863	19716
680	97996	19570
681	98132	19425
682	98270	19279
683	98411	19135
684	98551	18990
685	98688	18845
686	98821	18699
687	98956	18554
688	99090	18408
689	99226	18263
690	99371	18119
691	99506	17974
692	99640	17828
693	99771	17682
694	99904	17537
695	100040	17392
696	100174	17246
697	100313	17102
698	100455	16958
699	100595	16813
700	100729	16668
701	100862	16523
702	101001	16378
703	101134	16233
704	101262	16087
705	101396	15941
706	101540	15798
707	101674	15653
708	101812	15508
709	101938	15362
710	102073	15217
711	102202	15072
712	102329	14926
713	102460	14780
714	102597	14636
715	102732	14491
716	102859	14345
717	102989	14200
718	103121	14055
719	103260	13911
720	103387	13765
721	103522	13621
722	103657	13476
723	103790	13332
724	103921	13187
725	104053	13042
726	104180	12897
727	104310	12752
728	104445	12607
729	104579	12463
730	104721	12320
731	104866	12177
732	105087	12042
733	105306	11907
734	105531	11773
735	105733	11636
736	105952	11500
737	106170	11365
738	106387	11228
739	106598	11092
740	106775	10951
741	106963	10811
742	107100	10666
743	107266	10524
744	107493	10388
745	107708	10251
746	107954	10116
747	108183	9979
748	108393	9840
749	108628	9704
750	108813	9562
751	108948	9417
752	109082	9271
753	109219	9125
754	109429	8986
755	109644	8846
756	109863	8707
757	110076	8567
758	110293	8428
759	110509	8288
760	110677	8144
761	110873	8002
762	111029	7857
763	111187	7713
764	111359	7569
765	111531	7425
766	111702	7281
767	111861	7137
768	111996	6990
769	112128	6844
770	112348	6703
771	112591	6562
772	112835	6422
773	113030	6279
774	113207	6135
775	113431	5993
776	113652	5850
777	113865	5707
778	114118	5566
779	114350	5424
780	114569	5281
781	114722	5134
782	114947	4991
783	115128	4845
784	115314	4700
785	115504	4555
786	115684	4409
787	115969	4267
788	116168	4122
789	116390	3977
790	116600	3832
791	116735	3684
792	116870	3537
793	117112	3392
794	117276	3245
795	117412	3097
796	117549	2949
797	117690	2802
798	117831	2654
799	117969	2506
800	118109	2359
801	118247	2211
802	118385	2064
803	118530	1916
804	118671	1769
805	118881	1622
806	119068	1475
807	119220	1327
808	119381	1180
809	119538	1033
810	119708	885
811	119875	738
812	120109	590
813	120358	443
814	120552	295
815	120745	147
816	120919	0
