ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,BFEW,BFEL
2.0,Hong Kong,Hong Kong Tennis Open,2026-01-07,ATP250,Outdoor,Hard,2nd Round,3,Rublev A.,Wu Y.,27.0,80.0,375.0,30.0,3.0,6.0,6.0,2.0,6.0,1.0,,,,,2.0,1.0,Completed,1.44,2.75,1.51,2.6,1.5,2.75,1.47,2.61,1.51,2.96
2.0,Hong Kong,Hong Kong Tennis Open,2026-01-07,ATP250,Outdoor,Hard,2nd Round,3,Musetti L.,Etcheverry T.,21.0,11.0,513.0,873.0,6.0,7.0,6.0,2.0,6.0,4.0,,,,,2.0,1.0,Completed,1.3,3.5,,,1.32,3.5,1.3,3.4,1.33,3.85
2.0,Hong Kong,Hong Kong Tennis Open,2026-01-07,ATP250,Outdoor,Hard,2nd Round,3,Borges N.,Cilic M.,64.0,35.0,78.0,220.0,7.0,5.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.91,1.91,1.93,1.95,1.95,1.94,1.88,1.89,1.96,2.02
1.0,Brisbane,Brisbane International,2026-01-07,ATP250,Outdoor,Hard,2nd Round,3,Majchrzak K.,Opelka R.,66.0,70.0,68.0,55.0,6.0,7.0,7.0,6.0,7.0,6.0,,,,,2.0,1.0,Completed,2,1.8,2.08,1.82,2.04,1.83,1.99,1.8,2.12,1.87
1.0,Brisbane,Brisbane International,2026-01-07,ATP250,Outdoor,Hard,2nd Round,3,Michelsen A.,Tien L.,33.0,19.0,240.0,593.0,6.0,4.0,6.0,2.0,,,,,,,2.0,0.0,Completed,2.38,1.57,2.57,1.56,2.54,1.58,2.45,1.54,2.68,1.58
1.0,Brisbane,Brisbane International,2026-01-07,ATP250,Outdoor,Hard,2nd Round,3,Medvedev D.,Tiafoe F.,3.0,16.0,1963.0,708.0,6.0,3.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.3,3.5,1.35,3.44,1.33,3.55,1.31,3.42,1.38,3.55
1.0,Brisbane,Brisbane International,2026-01-07,ATP250,Outdoor,Hard,2nd Round,3,Korda S.,Lehecka J.,22.0,12.0,476.0,825.0,6.0,3.0,1.0,2.0,,,,,,,1.0,0.0,Retired,2.2,1.67,2.51,1.58,2.35,1.71,2.25,1.62,2.52,1.63
2.0,Hong Kong,Hong Kong Tennis Open,2026-01-08,ATP250,Outdoor,Hard,2nd Round,3,Bublik A.,Van De Zandschulp B.,18.0,47.0,658.0,155.0,6.0,3.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.44,2.75,1.48,2.82,1.5,2.8,1.46,2.65,1.53,2.82
2.0,Hong Kong,Hong Kong Tennis Open,2026-01-08,ATP250,Outdoor,Hard,2nd Round,3,Mmoh M.,Khachanov K.,100.0,57.0,13.0,100.0,7.0,6.0,7.0,6.0,,,,,,,2.0,0.0,Completed,3.4,1.33,3.32,1.37,3.4,1.35,3.25,1.33,3.55,1.38
2.0,Hong Kong,Hong Kong Tennis Open,2026-01-08,ATP250,Outdoor,Hard,2nd Round,3,Giron M.,Muller A.,49.0,85.0,150.0,23.0,6.0,4.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.8,2.0,1.8,2.11,1.84,2.01,1.79,1.99,1.84,2.16
