bet_no,Date,P1,P2,pick_side,pick_odds,model_conf,pick_ev,pick_correct,stake_frac,stake_units,pnl_units,bankroll_before,bankroll_after,drawdown_pct
62,2025-04-24,Nishikori K.,Vukic A.,P1,1.395,0.801703393358469,0.11837623373506423,1,0.03,35.95709076074419,14.203050850493954,1198.5696920248063,1212.7727428753003,0.0
63,2025-04-25,Shelton B.,Navone M.,P2,2.0749999999999997,0.5585122056367985,0.15891282669635676,0,0.03,36.38318228625901,-36.38318228625901,1212.7727428753003,1176.3895605890414,2.9999999999999947
64,2025-05-02,Ruud C.,Cerundolo F.,P1,1.8900000000000001,0.5711691157437535,0.07950962875569423,1,0.02233416538081298,26.273678998457562,23.383574308627235,1176.3895605890414,1199.7731348976686,1.071891502674412
65,2025-05-07,Sonego L.,Burruchaga R.,P1,1.5899999999999999,0.6712307341676522,0.06725686732656694,0,0.028498672596002972,34.19194176092876,-34.19194176092876,1199.7731348976686,1165.5811931367398,3.8912112772815552
66,2025-05-07,Darderi L.,Bu Y.,P1,1.3875,0.7913829278846513,0.09804381243995358,1,0.03,34.967435794102194,13.549881370214598,1165.5811931367398,1179.1310745069543,2.773946608379961
67,2025-05-07,Dzumhur D.,Gaubas V.,P1,1.9575,0.6408553937151895,0.25447443319748353,0,0.03,35.37393223520863,-35.37393223520863,1179.1310745069543,1143.7571422717456,5.690728210128569
68,2025-05-08,Tien L.,Opelka R.,P2,1.95,0.7342087595768063,0.4317070811747723,0,0.03,34.31271426815237,-34.31271426815237,1143.7571422717456,1109.4444280035932,8.520006363824713
69,2025-05-10,Rublev A.,Marozsan F.,P1,1.755,0.6099878295540963,0.07052864086743887,0,0.023353854591867163,25.909803849353153,-25.909803849353153,1109.4444280035932,1083.53462415424,10.65641683326889
70,2025-05-19,Nishikori K.,Tien L.,P1,1.825,0.6177113913824117,0.12732328927290137,1,0.03,32.506038724627196,26.817481947817434,1083.53462415424,1110.3521061020574,8.445163149892295
71,2025-05-20,Tiafoe F.,Bu Y.,P1,1.5150000000000001,0.7611454477067254,0.1531353532756891,1,0.03,33.310563183061724,17.15494003927679,1110.3521061020574,1127.5070461413343,7.030640920558125
72,2025-05-20,Baez S.,Ugo Carabelli C.,P1,1.6099999999999999,0.661960930862445,0.06575709868853635,0,0.026949630610055866,30.385898403744175,-30.385898403744175,1127.5070461413343,1097.12114773759,9.536130805802733
73,2025-05-21,Borges N.,Ofner S.,P1,1.9849999999999999,0.5883669705203547,0.167908436482904,0,0.03,32.9136344321277,-32.9136344321277,1097.12114773759,1064.2075133054623,12.250046881628656
74,2025-05-25,Borges N.,Jacquet K.,P1,1.57,0.7171338766152077,0.12590018628587607,1,0.03,31.92622539916387,18.197948477523408,1064.2075133054623,1082.4054617829856,10.749522683304509
75,2025-05-25,Van De Zandschulp B.,Nava E.,P1,1.7650000000000001,0.7011726269194651,0.23756968651285604,0,0.03,32.47216385348957,-32.47216385348957,1082.4054617829856,1049.9332979294961,13.42703700280537
76,2025-05-26,Tabilo A.,Cazaux A.,P1,1.595,0.6952205479962821,0.10887677405406992,1,0.03,31.497998937884883,18.741309368041506,1049.9332979294961,1068.6746072975377,11.88170961330544
77,2025-05-27,Kovacevic A.,Gomez F.A.,P1,1.6425,0.6836787501983975,0.122942347200868,0,0.03,32.06023821892613,-32.06023821892613,1068.6746072975377,1036.6143690786116,14.52525832490627
78,2025-06-09,Nakashima B.,Fearnley J.,P1,1.8925,0.6663301962363529,0.2610298963772979,1,0.03,31.09843107235835,27.75534973207983,1036.6143690786116,1064.3697188106914,12.236672116555637
