number,value,state,params_bagging_temperature,params_border_count,params_depth,params_l2_leaf_reg,params_leaf_estimation_iterations,params_learning_rate,params_min_data_in_leaf,params_random_strength,user_attrs_best_iteration,duration
28,0.6091971700697687,COMPLETE,2.556711994304689,128,9,19.08846259013024,8,0.09899542627616385,71,4.497407193749844,143.0,0 days 00:00:53.048936
29,0.6081613309143742,COMPLETE,2.89140070498087,254,6,3.5874145253515306,6,0.13329441547774673,29,0.002376444955386536,75.0,0 days 00:00:20.177487
30,0.6063696698939305,PRUNED,2.299011143086102,64,5,17.9664744135658,5,0.008779097650886651,97,0.3558728346155514,3922.0,0 days 00:04:32.505999
31,0.6056116693088384,COMPLETE,2.2907055464103823,254,10,28.643673517649866,9,0.010993680582503435,93,0.03761139699617756,871.0,0 days 00:07:08.081059
32,0.6055546633877116,COMPLETE,0.2450876594858451,254,6,2.49519861651695,1,0.023167777498742582,7,0.415423642836483,1253.0,0 days 00:01:36.863259
33,0.6056358752821329,COMPLETE,0.07238892935689253,254,7,3.145865502990559,2,0.025976886498104874,1,0.278558292212795,669.0,0 days 00:01:21.192003
34,0.6059510121748626,PRUNED,3.7637634588460473,64,6,22.560933822982545,7,0.021392632508267655,60,3.3627974767899445,1579.0,0 days 00:02:30.108258
35,0.606230674367473,PRUNED,1.3537966188816637,64,5,1.965447519752124,1,0.04787150264651667,8,0.19102084005166678,583.0,0 days 00:00:37.861149
36,0.6063675551819435,PRUNED,1.9994500549013203,64,10,11.305815759837513,6,0.006506186198173967,85,0.45282831885676333,1930.0,0 days 00:09:02.315618
37,0.6058176303787671,PRUNED,0.31826374775153443,254,4,1.3520987212907727,1,0.009594062096914772,43,0.8708037049079859,3211.0,0 days 00:02:22.465034
38,0.6063716869459452,COMPLETE,0.35227023658275325,254,9,23.74114401966433,9,0.010210071211310043,85,1.200329735266029,1864.0,0 days 00:07:11.985187
39,0.6055426503316124,COMPLETE,0.21012834851726514,128,6,2.9148134790945175,1,0.051248496846016955,29,1.922968599660994,655.0,0 days 00:00:56.366476
40,0.6068579922109342,PRUNED,0.39027481163373645,128,8,3.0794388251189937,1,0.12572363189594316,36,2.0544443017930556,128.0,0 days 00:00:32.289536
41,0.607105776439164,PRUNED,0.5291865614325307,128,6,1.5178351641127392,2,0.04283700907473485,40,0.7157192338497276,385.0,0 days 00:00:41.722767
42,0.6066013293413224,PRUNED,1.9819733539133626,128,7,5.0948819201092945,2,0.023251144921743648,4,4.91363966731731,822.0,0 days 00:01:35.449731
43,0.6055793800400703,PRUNED,1.8867663069377885,254,6,1.7586135975886041,3,0.015915626692475506,22,2.8538127108947586,1835.0,0 days 00:02:41.289823
44,0.6059124596931741,PRUNED,3.3369711239025106,254,4,25.07381306827113,7,0.020440469050851402,95,0.7544103518236142,1819.0,0 days 00:02:03.462517
45,0.6065301622378718,PRUNED,2.230961442782701,254,10,24.404433925121463,5,0.01612767762592538,86,3.4548590065712697,1166.0,0 days 00:08:04.263212
46,0.6060137836526158,PRUNED,4.008795512289911,64,5,13.688357994222613,6,0.009553320369248204,93,4.259778188619089,3087.0,0 days 00:03:49.557291
47,0.6063702673637463,PRUNED,1.4703156311158208,254,5,5.02850819570785,1,0.05452070684770518,9,0.8646250831306688,787.0,0 days 00:00:51.045042
48,0.6062663157211627,PRUNED,0.5685714113374626,64,6,4.38760982329278,2,0.009724444962149777,28,0.8654202895954958,2085.0,0 days 00:02:38.809987
49,0.607796094958867,PRUNED,0.2327035236812299,64,6,3.9851504461858482,3,0.06425079619773869,32,8.524051642106837,313.0,0 days 00:00:34.182165
50,0.6061536391809136,PRUNED,1.479924560540303,254,10,10.838168188192759,7,0.006074422118676148,90,0.22668008480985624,1439.0,0 days 00:10:33.534241
51,0.6061482709166708,COMPLETE,1.7309515604065797,128,10,28.094632080792376,9,0.009462310051868724,74,0.3461218766126668,1186.0,0 days 05:52:49.523759
52,0.6061622459513529,PRUNED,1.7089606251454574,254,10,12.455610136254283,7,0.028631292056938155,93,0.026047495526268987,376.0,0 days 00:03:10.756297
53,,FAIL,2.7920602240396803,254,10,24.45498359304322,8,0.008741129960847778,94,0.006775193138922627,,0 days 00:08:05.276664
54,0.6054818479540469,PRUNED,2.3859694836055656,254,9,25.811968572706107,9,0.014586316438989512,90,0.00828222878053541,916.0,0 days 00:04:21.490911
