number,value,state,params_colsample_bytree,params_extra_trees,params_learning_rate,params_max_bin,params_max_depth,params_min_child_samples,params_min_child_weight,params_min_split_gain,params_num_leaves,params_path_smooth,params_reg_alpha,params_reg_lambda,params_subsample,params_subsample_freq,user_attrs_best_iteration,duration
14,0.6050900962519253,COMPLETE,0.9460232775885566,False,0.02743825854621584,127,7,60,0.001659389038381581,0.25131854655259606,37,1.1538077692527182,0.004789030842100622,0.14233173123447043,0.9865052773762228,3,330.0,0 days 00:00:22.689060
15,0.610919941180305,PRUNED,0.9641592812938626,True,0.03457393591603019,127,12,192,3.7525108021939446,0.4818099885446264,57,1.7060189109347201,7.139327996351564e-05,5.010641965202524,0.6850793501277221,0,,0 days 00:00:03.904580
16,0.6049823154306646,COMPLETE,0.570042007618262,False,0.026508499683430865,511,10,118,0.0003061134900528447,0.3703843088771022,240,1.394031481990536,0.00046234575152882855,0.7876941994472523,0.8075036133495849,7,251.0,0 days 00:00:23.912067
17,0.6065102971796053,COMPLETE,0.8978963347180505,False,0.06715171353814121,255,8,105,0.9805638874011487,0.187791476319972,235,0.187963879681738,1.023406276988466,1.1014287581567612e-05,0.8249819653888826,5,80.0,0 days 00:00:11.645063
18,0.6142980147125366,PRUNED,0.8849967765493054,True,0.029353628856852092,511,4,167,0.00632343715999823,0.042673732496884,22,0.1033634423372154,8.7576835322941e-07,0.00403658667619465,0.5635302563259423,4,,0 days 00:00:03.424766
19,0.6121947177027498,PRUNED,0.9813242073389625,True,0.02347968381404505,255,11,61,0.015662356447891185,0.20447647220713494,92,0.34658864014169155,0.33405739074934476,0.018355569135304287,0.5392281906711329,0,,0 days 00:00:04.724694
20,0.6079454210391342,PRUNED,0.6779863393256308,True,0.011565712730044355,127,10,115,0.11444682032324735,0.05803632025345812,245,0.0920052840435055,0.06616297031744844,1.3475391688833286e-08,0.709800031213895,1,,0 days 00:00:40.279985
21,0.6054400380130419,COMPLETE,0.5226520048860223,False,0.021806050032373854,255,5,92,0.009829324480069712,0.25156812929004385,129,1.7129796823766446,2.3524127881331023e-05,0.004292786024278082,0.8079250490261083,5,541.0,0 days 00:00:26.638136
22,0.6079443824762,COMPLETE,0.9707324043882626,True,0.02891223107907126,511,9,84,0.16460426816350532,0.45267532097803187,241,0.3915822695785929,2.984858447686351e-05,4.474196712982528,0.7291264452457583,4,658.0,0 days 00:00:33.122258
23,0.6251758365354351,PRUNED,0.8483685826820753,False,0.006188545257527166,511,11,14,1.1812516086413092,0.3675355219019429,91,1.6069618607696972,0.004575995840498729,0.7893109390769851,0.6409273873867,0,,0 days 00:00:12.429938
24,0.6045021953630803,COMPLETE,0.8754355338957487,False,0.017210677976746688,127,10,75,4.505952694740129,0.45127645333978333,104,1.0105047448957143,0.061785400584597826,8.474514351963076e-08,0.9292063759215059,3,270.0,0 days 00:00:24.961037
25,0.6046936534493482,COMPLETE,0.7242227609891598,False,0.07531805792131623,255,6,191,5.662858823465567,0.3362592280385192,37,1.50474905887536,4.3540854235085346e-06,9.077806230864742e-06,0.7867189440616431,5,132.0,0 days 00:00:10.489671
