time,liga,mecz,target,typ,prob,acc,score
17:15,France/Ligue_1,Le Havre vs Metz,BTTS,NIE (BTTS),0.5250006999126073,0.5264367816091954,0.276379678804568
12:30,Italy/Serie_A,Fiorentina vs Sassuolo,FTR,1 (gosp),0.5125769769966714,0.5388888888888889,0.2762220376037618
16:00,Belgium/First_Division_A,Mechelen vs Sint-Truidense VV,O25,UNDER ,0.5127461987730317,0.5386363636363637,0.27618374797547396
18:00,Italy/Serie_A,Torino vs Inter,O25,UNDER ,0.5142495301257333,0.5351851851851852,0.275218730011735
18:30,Spain/Segunda_Division,Leganés vs FC Andorra,BTTS,NIE (BTTS),0.5257028231832144,0.5233002291825821,0.27510040785370654
17:30,Germany/Bundesliga_1,Dortmund vs Freiburg,CORNOU,OVER 9.5,0.52663349105889,0.5212014134275619,0.2744821198981847
13:30,Turkey/Super_Lig,Gençlerbirliği vs Kocaelispor,O25,OVER ,0.5083210863594522,0.5371312309257376,0.2730351308217607
16:15,Spain/Segunda_Division,Mirandes vs Cultural Leonesa,CORNOU,UNDER 9.0,0.5026756949197113,0.5428571428571428,0.2728810915278433
18:30,Spain/Segunda_Division,Huesca vs Zaragoza,CORNOU,UNDER 9.0,0.5026680549621135,0.5428571428571428,0.2728769441222902
13:30,Germany/Bundesliga_2,Nurnberg vs Magdeburg,HGOOU,OVER 1.0,0.5036285869608651,0.5418098510882016,0.2728709297050277
17:15,France/Ligue_1,Le Havre vs Metz,FTR,1 (gosp),0.5321114496163215,0.5103448275862069,0.2715603260110882
20:45,Italy/Serie_A,Milan vs Juventus,O25,OVER ,0.5041689536456577,0.5351851851851852,0.26982375482147236
17:15,France/Ligue_1,Paris FC vs Lille,BTTS,TAK (BTTS),0.5103415846486817,0.5264367816091954,0.2686625813437888
15:00,Italy/Serie_A,Genoa vs Como,O25,OVER ,0.5016458507826466,0.5351851851851852,0.26847342754849046
12:30,Italy/Serie_A,Fiorentina vs Sassuolo,O25,UNDER ,0.5014183576743854,0.5351851851851852,0.26835167660721737
,Spain/Segunda_Division,Cordoba vs Sp Gijon,BTTS,TAK (BTTS),0.5092400388101506,0.5233002291825821,0.2664854290182988
19:00,Turkey/Super_Lig,Galatasaray vs Fenerbahce,SHTOU,UNDER 8.5,0.5036398734387264,0.5287356321839081,0.26629234687564846
15:30,Germany/Bundesliga_1,Stuttgart vs Werder Bremen,CORNOU,UNDER 9.5,0.5095449123742988,0.5212014134275619,0.26557552853430766
13:30,Germany/Bundesliga_2,Nurnberg vs Magdeburg,CORNOU,OVER 10.0,0.5127154046689721,0.5172413793103449,0.2651976231046408
13:30,Turkey/Super_Lig,Gençlerbirliği vs Kocaelispor,CORNOU,UNDER 9.5,0.533331812122761,0.4942528735632184,0.26360078070435317
13:00,England/Championship,Coventry vs Wrexham,O25,UNDER ,0.5024554405328612,0.5242537313432836,0.2634141395330858
16:15,Spain/Segunda_Division,Granada vs Almeria,BTTS,TAK (BTTS),0.5000250193274367,0.5233002291825821,0.26166320721107267
19:00,Turkey/Super_Lig,Galatasaray vs Fenerbahce,CORNOU,UNDER 9.5,0.5245483235427596,0.4942528735632184,0.25925951623377774
13:00,England/Championship,Coventry vs Wrexham,FTR,1 (gosp),0.5518381455361483,0.4633084577114428,0.2556712801146956
21:00,Spain/Segunda_Division,Ceuta vs Racing Santander,FTR,1 (gosp),0.5663360987606773,0.4430863254392666,0.2509357809634781
12:15,Netherlands/Eredivisie,Excelsior vs Utrecht,FTR,2 (gosc),0.4624602583290785,0.5328798185941043,0.24643573856538195
19:00,Turkey/Super_Lig,Galatasaray vs Fenerbahce,FTR,1 (gosp),0.4507186675441748,0.5350966429298067,0.24117804590868358
17:30,Scotland/Premiership,Hibernian vs Hearts,FTR,2 (gosc),0.4432612152017946,0.5428134556574924,0.24060815198262553
17:15,France/Ligue_1,Paris FC vs Lille,FTR,2 (gosc),0.4676549006951662,0.5103448275862069,0.2386652596651193
18:30,Spain/Segunda_Division,Huesca vs Zaragoza,FTR,1 (gosp),0.5351086303383812,0.4430863254392666,0.2370993167274722
20:45,Italy/Serie_A,Milan vs Juventus,FTR,2 (gosc),0.4378651917864161,0.5388888888888889,0.235960686684902
16:15,Spain/Segunda_Division,Mirandes vs Cultural Leonesa,FTR,1 (gosp),0.5276812404562826,0.4430863254392666,0.23380834183700835
14:30,Netherlands/Eredivisie,Heracles vs Volendam,FTR,1 (gosp),0.4304720841920997,0.5328798185941043,0.22938988613411207
13:30,Germany/Bundesliga_2,Bochum vs Greuther Furth,FTR,1 (gosp),0.5044758086093114,0.4410080183276059,0.222477876649009
15:00,Scotland/Premiership,Dundee United vs Dundee,FTR,1 (gosp),0.403640625648571,0.5428134556574924,0.2191015628520531
18:30,Spain/Segunda_Division,Leganés vs FC Andorra,FTR,1 (gosp),0.4925661124582089,0.4430863254392666,0.21824930880501237
15:00,France/Ligue_1,Lorient vs Strasbourg,FTR,1 (gosp),0.420233263678992,0.5103448275862069,0.2144638724982442
13:30,Turkey/Super_Lig,Gençlerbirliği vs Kocaelispor,FTR,2 (gosc),0.3877062304303719,0.5350966429298067,0.2074603023462621
13:30,Belgium/First_Division_A,Gent vs Club Brugge,FTR,2 (gosc),0.4260029148990528,0.4863636363636364,0.20719232679181204
16:15,Spain/Segunda_Division,Granada vs Almeria,FTR,1 (gosp),0.4486812093356131,0.4430863254392666,0.19880450833816318
15:00,Italy/Serie_A,Genoa vs Como,FTR,2 (gosc),0.3643716280795781,0.5388888888888889,0.1963558217984393
13:30,Germany/Bundesliga_2,Paderborn vs Schalke 04,FTR,1 (gosp),0.4345185403490974,0.4410080183276059,0.1916261604059593
,Spain/Segunda_Division,Cordoba vs Sp Gijon,FTR,1 (gosp),0.3867859993572654,0.4430863254392666,0.17137958718656526
13:30,Germany/Bundesliga_2,Nurnberg vs Magdeburg,FTR,1 (gosp),0.3807554807208526,0.4410080183276059,0.16791622002007814
