Feature_Clean,LightGBM,XGBoost,CatBoost,Mean,Std,Original_Feature
WL_AGR_mu_diff,75,0.0024155753,0.2671039358885551,0.002258817055096733,0.0005090381551162797,WL_AGR_mu_diff
momentum_TS_ordinal,18,0.0035653801,0.27384669023847386,0.002236469377328847,0.001638632513493952,momentum_TS_ordinal
LM_LONG_form_diff,39,0.002334962,0.3423176512731257,0.0022122845049370385,0.001276659187517666,LM_LONG_form_diff
LNET_cs_diff,18,0.0027318175,0.34772737336530607,0.0022048840962019273,0.0016022171071954179,LNET_cs_diff
BTF_sigma_diff,27,0.0028098524,0.3181297596456275,0.0021998304415239704,0.0013907270527033842,BTF_sigma_diff
TMF_certainty_diff,119,0.002157235,0.17272970219017114,0.0021885796999526813,0.0004777267045086538,TMF_certainty_diff
RN_DEEP_gcpg_diff,3,0.0022892572,0.420702863873856,0.002187959868239796,0.0020715759303228144,RN_DEEP_gcpg_diff
RN_DEEP_dr_diff,6,0.0023454838,0.40814947437924143,0.002187388556461454,0.0019778983901132625,RN_DEEP_dr_diff
RN_p_home_win,102,0.0023508242,0.18889763366186885,0.0021793260111525664,0.0002528243125414621,RN_p_home_win
LNET_sos_diff,1,0.0020850569,0.4377777135085597,0.002161788462456553,0.0021786366551794583,LNET_sos_diff
PL_certainty_diff,125,0.0025821382,0.10824632902398096,0.0021603318112383392,0.0009407812096046913,PL_certainty_diff
LNET_gpg_diff,3,0.0019756686,0.44222451771934274,0.0021551691516314754,0.0021828681121251405,LNET_gpg_diff
WL_certainty_diff,101,0.0022660547,0.1840958846974278,0.002127553312663756,0.00024824441178144174,WL_certainty_diff
RN_gcpg_diff,25,0.0023971202,0.34131911133264015,0.002124530121232042,0.0014443785124449698,RN_gcpg_diff
BTF_ordinal_diff,23,0.0025116373,0.33192080504989135,0.0021163540231605026,0.0014417265098381866,BTF_ordinal_diff
BARS_SLOW_kurtosis_diff,24,0.002485492,0.33163683331241156,0.002114202748945352,0.001424573480462571,BARS_SLOW_kurtosis_diff
BARS_SLOW_skew_diff,6,0.002651109,0.3554058790718397,0.002113451632378652,0.0017717161205548124,BARS_SLOW_skew_diff
BARS_k_factor_diff,59,0.002359392,0.2637384925097348,0.002108704968161348,0.0006891152798806486,BARS_k_factor_diff
RN_form5_diff,4,0.0024270746,0.380399624163313,0.002107065240259746,0.0018775024036682627,RN_form5_diff
RN_dr_diff,35,0.0024336134,0.30390612793059246,0.0020870884012532055,0.0011645663685091398,RN_dr_diff
BARS_FAST_skew_diff,56,0.0027769655,0.2173303865477168,0.002070671352340477,0.0007628067246215655,BARS_FAST_skew_diff
RLHF_DEEP_reward_diff,15,0.0024019673,0.34410281564622225,0.0020603209942033616,0.001579489967920071,RLHF_DEEP_reward_diff
BARS_FAST_sigma_diff,53,0.0021824746,0.278543177217717,0.0020540191795623843,0.0008033799460356553,BARS_FAST_sigma_diff
LM_LONG_log_games_diff,99,0.0024013142,0.15175909589493042,0.0020498297458112296,0.00046877056102515344,LM_LONG_log_games_diff
LNET_away_wr_diff,1,0.0,0.6069578310677692,0.0020307031533305397,0.0034977866309495414,LNET_away_wr_diff
BARS_FAST_k_factor_diff,108,0.002826692,0.0769719254263011,0.002009925262649018,0.0010919065856374482,BARS_FAST_k_factor_diff
last_form10_diff,0,0.0030468334,0.2978773884899146,0.00200853589749892,0.0017397759559569085,last_form10_diff
RN_DEEP_streak_diff,0,0.0024903633,0.3457681567070081,0.0019826817268516713,0.0017838711075427182,RN_DEEP_streak_diff
LMLE_ppg_diff,30,0.0021613548,0.30618960875264345,0.0019663951941477423,0.0012048693695990767,LMLE_ppg_diff
BTP_ordinal_diff,5,0.002998978,0.2754708660358573,0.0019554475546618884,0.0016005711933390538,BTP_ordinal_diff
RN_DEEP_form10_diff,21,0.0023458453,0.29949906205610144,0.0019379967906315194,0.0013094542039861815,RN_DEEP_form10_diff
RN_streak_diff,5,0.0028209272,0.28352972039123625,0.0019229601569459593,0.001567786071382943,RN_streak_diff
LMLE_form10_diff,0,0.0027500647,0.29818457688112726,0.0019106369362207824,0.0016587135687386426,LMLE_form10_diff
BARS_p_home_win,13,0.0026897853,0.2641080192893124,0.001874590259552893,0.001369996127826862,BARS_p_home_win
RN_log_games_diff,22,0.0023222836,0.27957951784579804,0.001871254771216943,0.001214576800053505,RN_log_games_diff
TMF_mu_diff,42,0.0023168637,0.22812020883362422,0.0018481247924795174,0.000781199540364233,TMF_mu_diff
RN_DEEP_away_wr_diff,7,0.0022442706,0.3060536295037045,0.0018208417490888442,0.0014970162446505848,RN_DEEP_away_wr_diff
momentum_BARS_mu,4,0.0024018458,0.294722172660636,0.0018130641242301848,0.0015168220454905706,momentum_BARS_mu
LM_LONG_games_diff,72,0.002724306,0.09633489797801525,0.0017699660048546312,0.0008897242701341731,LM_LONG_games_diff
LMLE_gcpg_diff,0,0.001970732,0.3331245393461192,0.0017673258381648391,0.0016749118050801612,LMLE_gcpg_diff
BTF_mu_diff,18,0.0023930029,0.24964278432537335,0.0017649972236109229,0.0011784417417896311,BTF_mu_diff
RN_DEEP_wr_diff,6,0.0020601568,0.308741178098477,0.0017609185678948605,0.0014986879877165733,RN_DEEP_wr_diff
last_sos_diff,0,0.0,0.511551168190499,0.0017051705606349965,0.002953442046590521,last_sos_diff
BARS_FAST_streak_diff,10,0.002798169,0.20721822719838864,0.0016985543395571488,0.0013264982614920198,BARS_FAST_streak_diff
BTP_certainty_diff,3,0.0031064008,0.18754029353836318,0.001683132529965473,0.0015285005986508627,BTP_certainty_diff
LM_LONG_sos_diff,59,0.0022086718,0.15094346329176625,0.001682481490378503,0.000464506273811904,LM_LONG_sos_diff
RN_wr_diff,22,0.0023333705,0.218213080070426,0.001670395622269428,0.001020135611306462,RN_wr_diff
LNET_form10_diff,4,0.0027080132,0.2209434970366013,0.0016691910199698441,0.001390047916849578,LNET_form10_diff
RN_DEEP_sos_diff,4,0.002145768,0.2770640320462204,0.0016688443613064672,0.0014024561926655585,RN_DEEP_sos_diff
BTP_sigma_diff,6,0.0022760597,0.2578125877344097,0.0016631242501064013,0.0013318240765378775,BTP_sigma_diff
TS_sigma_diff,93,0.0022175263,0.06462902107046362,0.0016530712253432283,0.0008740337087616342,TS_sigma_diff
RN_DEEP_form5_diff,1,0.002055058,0.28595924075871715,0.0016457272749480516,0.001462153563128186,RN_DEEP_form5_diff
